"ano_ingresso","ano","media_final","descricao","nome","ch_total","status"
2009.0,20092.0,8.1,1.0,27.0,60.0,1.0
2009.0,20092.0,7.3,1.0,27.0,60.0,-1.0
2009.0,20092.0,8.1,1.0,27.0,60.0,1.0
2009.0,20092.0,7.6,1.0,27.0,60.0,-1.0
2009.0,20092.0,-4.0,-2.0,27.0,60.0,-1.0
2009.0,20092.0,7.5,1.0,27.0,60.0,-1.0
2009.0,20092.0,7.1,1.0,27.0,60.0,-1.0
2009.0,20092.0,7.1,1.0,27.0,60.0,-1.0
2009.0,20092.0,8.1,1.0,27.0,60.0,1.0
2009.0,20092.0,5.4,1.0,27.0,60.0,-1.0
2009.0,20092.0,-4.0,-2.0,27.0,60.0,-1.0
2009.0,20092.0,7.4,1.0,27.0,60.0,1.0
2009.0,20092.0,7.6,1.0,27.0,60.0,-1.0
2009.0,20092.0,6.2,1.0,27.0,60.0,1.0
2009.0,20092.0,7.3,1.0,27.0,60.0,-1.0
2009.0,20092.0,-4.0,-2.0,27.0,60.0,-1.0
2009.0,20092.0,6.7,1.0,27.0,60.0,-1.0
2009.0,20092.0,7.9,1.0,27.0,60.0,-1.0
2009.0,20092.0,6.6,1.0,27.0,60.0,-1.0
2009.0,20092.0,5.0,1.0,27.0,60.0,-1.0
2009.0,20092.0,7.0,1.0,27.0,60.0,-1.0
2009.0,20092.0,7.2,1.0,27.0,60.0,1.0
2009.0,20092.0,4.4,-1.0,27.0,60.0,-1.0
2009.0,20092.0,0.0,-1.0,27.0,60.0,-1.0
2009.0,20092.0,6.2,1.0,27.0,60.0,-1.0
2009.0,20092.0,8.7,1.0,27.0,60.0,-1.0
2009.0,20092.0,5.5,1.0,27.0,60.0,-1.0
2009.0,20092.0,7.0,1.0,27.0,60.0,-1.0
2009.0,20092.0,7.0,1.0,27.0,60.0,-1.0
2009.0,20092.0,6.9,1.0,4.0,60.0,1.0
2009.0,20092.0,6.0,1.0,4.0,60.0,1.0
2009.0,20092.0,9.4,1.0,4.0,60.0,1.0
2009.0,20092.0,5.0,1.0,4.0,60.0,-1.0
2009.0,20092.0,5.2,1.0,4.0,60.0,1.0
2009.0,20092.0,6.0,1.0,4.0,60.0,-1.0
2009.0,20092.0,8.3,1.0,4.0,60.0,1.0
2009.0,20092.0,5.0,1.0,4.0,60.0,1.0
2009.0,20092.0,5.6,1.0,4.0,60.0,-1.0
2009.0,20092.0,5.0,1.0,4.0,60.0,1.0
2009.0,20092.0,6.4,1.0,4.0,60.0,-1.0
2009.0,20092.0,7.8,1.0,4.0,60.0,-1.0
2009.0,20092.0,5.3,1.0,4.0,60.0,-1.0
