"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57663198";"01";"349686";"";"";"21283";"60";"GRADUAÇÃO";"Campus Central";"REMOTO";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"345T1234";"0";"15";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57663199";"01";"";"1218";"";"65677";"15";"GRADUAÇÃO";"Campus Central";"Atividades remotas";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"5N123 (15/06/2020 - 29/07/2020)";"35";"55";"REGULAR";"false";"2020/07/31 19:32:29.323000000";"false";"";"18";"CONSOLIDADA";"";"Presencial"
"57663200";"01";"1516542";"";"";"59976";"30";"GRADUAÇÃO";"Campus Central";"Remoto";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"25T345";"18";"40";"REGULAR";"false";"2020/07/28 22:35:02.108000000";"false";"";"39";"CONSOLIDADA";"";"Presencial"
"57663201";"01";"2330137";"";"";"65679";"15";"GRADUAÇÃO";"Campus Central";"Atividades remotas";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"3N123 (15/06/2020 - 29/07/2020)";"20";"25";"REGULAR";"false";"2020/07/29 11:03:11.969000000";"false";"";"18";"CONSOLIDADA";"";"Presencial"
"57663202";"01";"2179045";"";"";"2020252";"60";"GRADUAÇÃO";"Campus Caicó";"Remoto";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"56T56  56N1234";"48";"55";"REGULAR";"false";"2020/07/30 10:33:38.204000000";"false";"";"72";"CONSOLIDADA";"";"Presencial"
"57663203";"01";"6468813";"";"";"65681";"15";"GRADUAÇÃO";"Campus Central";"Atividades remotas";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"3N123 (15/06/2020 - 29/07/2020)";"23";"30";"REGULAR";"false";"2020/08/07 15:57:27.112000000";"false";"";"21";"CONSOLIDADA";"";"Presencial"
"57663204";"01";"2610304";"";"";"48630";"60";"GRADUAÇÃO";"Campus Caicó";"Remoto";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"3T1234  24N1234";"41";"45";"REGULAR";"false";"2020/07/31 21:07:55.341000000";"false";"";"72";"CONSOLIDADA";"";"Presencial"
"57663205";"01";"2583642";"";"";"65683";"15";"GRADUAÇÃO";"Campus Central";"Atividades remotas";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"3N123 (15/06/2020 - 29/07/2020)";"57";"40";"REGULAR";"false";"2020/08/07 23:19:54.832000000";"false";"";"18";"CONSOLIDADA";"";"Presencial"
"57663205";"01";"2626690";"";"";"65683";"15";"GRADUAÇÃO";"Campus Central";"Atividades remotas";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"3N123 (15/06/2020 - 29/07/2020)";"57";"40";"REGULAR";"false";"2020/08/07 23:19:54.832000000";"false";"";"18";"CONSOLIDADA";"";"Presencial"
"57663206";"01";"2495705";"";"";"62492";"30";"GRADUAÇÃO";"Campus Central";"Atividades remotas";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"2M123  5T123 (15/06/2020 - 29/07/2020)";"76";"61";"REGULAR";"false";"2020/07/31 14:48:25.783000000";"false";"";"39";"CONSOLIDADA";"";"Presencial"
"57663207";"01";"3140906";"";"";"43401";"30";"GRADUAÇÃO";"Campus Santa Cruz";"Ensino remoto";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"2M123456";"43";"42";"REGULAR";"false";"2020/07/27 11:40:11.036000000";"false";"";"39";"CONSOLIDADA";"";"Presencial"
"57663208";"01";"2495705";"";"";"62494";"30";"GRADUAÇÃO";"Campus Central";"Atividades remotas";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"3M234  5T456 (15/06/2020 - 29/07/2020)";"77";"61";"REGULAR";"false";"2020/07/31 14:51:30.558000000";"false";"";"39";"CONSOLIDADA";"";"Presencial"
"57663209";"01";"2378532";"";"Turma ofertada para a turma concluinte.";"2020283";"60";"GRADUAÇÃO";"Campus Caicó";"Remoto";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"35T56  35N1234 (15/06/2020 - 29/07/2020)";"39";"41";"REGULAR";"false";"2020/07/31 12:10:11.091000000";"false";"";"78";"CONSOLIDADA";"";"Presencial"
"57663210";"01";"2327909";"";"";"62496";"30";"GRADUAÇÃO";"Campus Central";"Atividades remotas";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"34T123 (15/06/2020 - 29/07/2020)";"78";"60";"REGULAR";"false";"2020/07/31 18:58:17.309000000";"false";"";"42";"CONSOLIDADA";"";"Presencial"
"57663210";"01";"1245215";"";"";"62496";"30";"GRADUAÇÃO";"Campus Central";"Atividades remotas";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"34T123 (15/06/2020 - 29/07/2020)";"78";"60";"REGULAR";"false";"2020/07/31 18:58:17.309000000";"false";"";"42";"CONSOLIDADA";"";"Presencial"
"57663211";"01";"2275923";"";"";"68846";"60";"GRADUAÇÃO";"Campus Currais Novos";"Ensino Remoto";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"234N123 5N12";"28";"25";"REGULAR";"false";"2020/07/29 11:31:48.814000000";"false";"";"75";"CONSOLIDADA";"";"Presencial"
"57663212";"01";"2495705";"";"";"2045612";"45";"GRADUAÇÃO";"Campus Central";"Atividades remotas";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"2M345 4M2345  2T12";"33";"40";"REGULAR";"false";"2021/01/19 13:29:39.396000000";"false";"";"63";"CONSOLIDADA";"";"Presencial"
"57663213";"01";"1242804";"";"";"43426";"60";"GRADUAÇÃO";"Campus Santa Cruz";"Ensino remoto";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"346T1234";"40";"35";"REGULAR";"false";"2020/08/06 20:26:41.160000000";"false";"";"80";"CONSOLIDADA";"";"Presencial"
"57663213";"01";"3062451";"";"";"43426";"60";"GRADUAÇÃO";"Campus Santa Cruz";"Ensino remoto";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"346T1234";"40";"35";"REGULAR";"false";"2020/08/06 20:26:41.160000000";"false";"";"80";"CONSOLIDADA";"";"Presencial"
"57663214";"01";"349686";"";"";"26720";"60";"GRADUAÇÃO";"Campus Central";"REMOTO";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"345T1234";"64";"15";"REGULAR";"false";"2020/07/29 21:03:10.140000000";"false";"";"72";"CONSOLIDADA";"";"Presencial"
"57663214";"01";"2279106";"";"";"26720";"60";"GRADUAÇÃO";"Campus Central";"REMOTO";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"345T1234";"64";"15";"REGULAR";"false";"2020/07/29 21:03:10.140000000";"false";"";"72";"CONSOLIDADA";"";"Presencial"
