"ano_ingresso","homem","mulher","ch_cumprida","ch_cumprida_dividida","ch_reprovacao","taxa_reprovacao","semestre_total","semestre_dividido","matricula","tempo_relativo"
2022,1,0,540,0.3,0.0,0.0,2,0.25,8.0,0.25
2012,1,0,1740,0.95,540.0,0.31,8,1.0,27.0,-1.0
2018,0,1,960,0.52,630.0,0.66,4,0.5,14.0,-0.5
2012,1,0,810,0.44,60.0,0.07,3,0.38,12.0,-0.38
2011,0,1,1410,0.77,120.0,0.09,8,1.0,23.0,1.0
2015,1,0,750,0.41,600.0,0.8,3,0.38,11.0,-0.38
2014,1,0,420,0.23,210.0,0.5,1,0.12,6.0,-0.12
2014,1,0,2280,1.25,510.0,0.22,11,1.38,35.0,1.38
2014,0,1,210,0.11,210.0,1.0,1,0.12,3.0,-0.12
2022,1,0,540,0.3,0.0,0.0,2,0.25,8.0,0.25
2015,1,0,1830,1.0,0.0,0.0,8,1.0,29.0,1.0
2017,0,1,1170,0.64,150.0,0.13,5,0.62,18.0,-0.62
2020,1,0,420,0.23,270.0,0.64,2,0.25,6.0,-0.25
2018,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2013,1,0,1770,0.97,0.0,0.0,7,0.88,28.0,0.88
2014,1,0,2460,1.34,420.0,0.17,11,1.38,38.0,1.38
2018,0,1,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2012,0,1,2250,1.23,360.0,0.16,10,1.25,35.0,-1.25
2011,1,0,2280,1.25,450.0,0.2,10,1.25,36.0,-1.25
2015,1,0,660,0.36,210.0,0.32,4,0.5,10.0,-0.5
2021,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2022,1,0,600,0.33,480.0,0.8,2,0.25,9.0,-0.25
2021,1,0,330,0.18,60.0,0.18,1,0.12,5.0,-0.12
2010,1,0,2370,1.3,540.0,0.23,10,1.25,38.0,-1.25
2022,1,0,540,0.3,0.0,0.0,2,0.25,8.0,0.25
2011,0,1,1770,0.97,0.0,0.0,8,1.0,28.0,1.0
2015,1,0,1830,1.0,0.0,0.0,8,1.0,29.0,1.0
2009,1,0,2460,1.34,630.0,0.26,12,1.5,39.0,-1.5
2018,1,0,1320,0.72,60.0,0.05,6,0.75,21.0,0.75
2015,1,0,1890,1.03,60.0,0.03,8,1.0,30.0,-1.0
2011,1,0,480,0.26,0.0,0.0,1,0.12,7.0,-0.12
2018,1,0,660,0.36,270.0,0.41,2,0.25,10.0,-0.25
2021,0,1,1230,0.67,0.0,0.0,4,0.5,19.0,0.5
2010,0,1,2310,1.26,480.0,0.21,13,1.62,36.0,-1.62
2017,1,0,1170,0.64,540.0,0.46,7,0.88,18.0,-0.88
2017,1,0,180,0.1,60.0,0.33,2,0.25,3.0,0.25
2013,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2021,0,1,600,0.33,0.0,0.0,2,0.25,9.0,-0.25
2021,1,0,810,0.44,0.0,0.0,3,0.38,12.0,-0.38
2014,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2009,1,0,480,0.26,0.0,0.0,2,0.25,7.0,-0.25
2010,1,0,2610,1.43,690.0,0.26,12,1.5,40.0,1.5
2019,1,0,870,0.48,390.0,0.45,3,0.38,13.0,-0.38
2013,1,0,1260,0.69,510.0,0.4,5,0.62,19.0,-0.62
2010,1,0,1410,0.77,360.0,0.26,6,0.75,21.0,-0.75
2022,0,1,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2018,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2009,1,0,1860,1.02,330.0,0.18,9,1.12,29.0,-1.12
2014,1,0,1230,0.67,750.0,0.61,5,0.62,18.0,-0.62
2018,0,1,1020,0.56,60.0,0.06,6,0.75,17.0,0.75
2011,1,0,2370,1.3,990.0,0.42,11,1.38,37.0,-1.38
2020,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2018,1,0,1680,0.92,660.0,0.39,10,1.25,26.0,1.25
2021,1,0,810,0.44,390.0,0.48,4,0.5,12.0,0.5
2012,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2014,1,0,330,0.18,60.0,0.18,1,0.12,5.0,-0.12
2010,1,0,2550,1.39,720.0,0.28,13,1.62,41.0,-1.62
2012,1,0,1320,0.72,270.0,0.2,5,0.62,20.0,-0.62
2011,1,0,2160,1.18,180.0,0.08,9,1.12,34.0,1.12
2022,0,1,600,0.33,120.0,0.2,2,0.25,9.0,0.25
2018,1,0,1440,0.79,150.0,0.1,7,0.88,23.0,0.88
2019,1,0,990,0.54,180.0,0.18,4,0.5,15.0,-0.5
